TimeStamp,SPX
2022-03-08 01:00:00,4170.7
2022-03-09 01:00:00,4277.88
2022-03-10 01:00:00,4259.52
2022-03-11 01:00:00,4204.31
2022-03-14 01:00:00,4173.11
2022-03-15 01:00:00,4262.45
2022-03-16 01:00:00,4357.86
2022-03-17 01:00:00,4411.67
2022-03-18 01:00:00,4463.12
2022-03-21 01:00:00,4461.18
2022-03-22 01:00:00,4511.61
2022-03-23 01:00:00,4456.24
2022-03-24 01:00:00,4520.16
2022-03-25 01:00:00,4543.06
2022-03-28 02:00:00,4575.52
2022-03-29 02:00:00,4631.6
2022-03-30 02:00:00,4602.45
2022-03-31 02:00:00,4530.41
2022-04-01 02:00:00,4545.86
2022-04-04 02:00:00,4582.64
2022-04-05 02:00:00,4525.12
2022-04-06 02:00:00,4481.15
2022-04-07 02:00:00,4500.21
2022-04-08 02:00:00,4488.28
2022-04-11 02:00:00,4412.53
2022-04-12 02:00:00,4397.45
2022-04-13 02:00:00,4446.59
2022-04-14 02:00:00,4392.59
2022-04-15 02:00:00,4392.59
2022-04-18 02:00:00,4391.69
2022-04-19 02:00:00,4462.21
2022-04-20 02:00:00,4459.45
2022-04-21 02:00:00,4393.66
2022-04-22 02:00:00,4271.78
2022-04-25 02:00:00,4296.12
2022-04-26 02:00:00,4175.2
2022-04-27 02:00:00,4183.96
2022-04-28 02:00:00,4287.5
2022-04-29 02:00:00,4131.93
2022-05-02 02:00:00,4155.38
2022-05-03 02:00:00,4175.48
2022-05-04 02:00:00,4300.17
2022-05-05 02:00:00,4146.87
2022-05-06 02:00:00,4123.34
2022-05-09 02:00:00,3991.24
2022-05-10 02:00:00,4001.05
2022-05-11 02:00:00,3935.18
2022-05-12 02:00:00,3930.08
2022-05-13 02:00:00,4023.89
2022-05-16 02:00:00,4008.01
2022-05-17 02:00:00,4088.85
2022-05-18 02:00:00,3923.68
2022-05-19 02:00:00,3900.79
2022-05-20 02:00:00,3901.36
2022-05-23 02:00:00,3973.75
2022-05-24 02:00:00,3941.48
2022-05-25 02:00:00,3978.73
2022-05-26 02:00:00,4057.84
2022-05-27 02:00:00,4158.24
2022-05-30 02:00:00,4158.24
